checking_balance,months_loan_duration,amount,savings_balance,installment_rate,age,existing_credits,dependents,employment_months,residence_months,credit_history_delayed,credit_history_fully repaid,credit_history_fully repaid this bank,credit_history_repaid,purpose_car (new),purpose_car (used),purpose_domestic appliances,purpose_education,purpose_furniture,purpose_others,purpose_radio/tv,purpose_repairs,purpose_retraining,personal_status_divorced,personal_status_married,personal_status_single,other_debtors_guarantor,other_debtors_none,property_other,property_real estate,property_unknown/none,installment_plan_none,installment_plan_stores,housing_own,housing_rent,foreign_worker_yes,job_skilled employee,job_unemployed non-resident,job_unskilled resident,gender_male,target
-34.0,30,8072,0.0,2,25,3,1,3,36,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,True,False,False,True,0
83.0,24,12579,16.0,4,44,1,1,204,8,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,1
0.0,24,3430,535.0,3,31,1,2,108,7,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
0.0,9,2134,97.0,4,48,3,1,12,168,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
-8.0,6,2647,530.0,2,44,1,2,12,36,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,True,0
-18.0,10,2241,14.0,1,48,2,2,4,12,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,0
113.0,12,1804,361.0,3,44,1,1,3,192,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,0
0.0,10,2069,0.0,2,26,2,1,24,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,0
-21.0,6,1374,75.0,1,36,1,1,24,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,0
0.0,6,426,67.0,4,39,1,1,120,168,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,0
979.0,12,409,7858.0,3,42,2,1,12,12,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,True,False,False,False,0
162.0,7,2415,10.0,3,34,1,1,36,6,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,0
-2.0,60,6836,73.0,3,63,2,1,120,120,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,True,1
191.0,18,1913,9343.0,3,36,1,1,10,24,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,0
-31.0,24,4020,28.0,2,27,1,1,36,10,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,True,True,False,False,True,0
116.0,18,5866,205.0,2,30,2,1,36,3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
0.0,12,1264,0.0,4,57,1,1,132,240,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,0
837.0,12,1474,62.0,4,33,1,1,1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,0
59.0,45,4746,63.0,4,25,2,1,7,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,1
0.0,48,6110,41.0,1,31,1,1,24,24,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,0
884.0,18,2100,4.0,4,37,1,1,12,11,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,True,False,False,True,1
646.0,10,1225,42.0,2,37,1,1,36,5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
128.0,9,458,41.0,4,24,1,1,12,24,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
0.0,30,2333,957.0,4,30,1,1,228,8,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,0
162.0,12,1158,641.0,3,26,1,1,24,0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
126.0,18,6204,90.0,2,44,1,2,12,168,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,0
-19.0,30,6187,118.0,1,24,2,1,84,192,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True,0
-1.0,48,6143,12.0,4,58,2,1,168,252,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,1
0.0,11,1393,75.0,4,35,2,1,1,60,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,0
0.0,36,2299,880.0,4,39,1,1,204,96,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
-8.0,6,1352,879.0,1,23,1,1,0,6,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,0
0.0,11,7228,99.0,1,39,2,1,12,96,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,0
0.0,12,2073,308.0,4,28,1,1,36,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,0
14.0,24,2333,0.0,4,29,1,1,3,9,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,0
39.0,27,5965,78.0,1,30,2,1,216,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,0
0.0,12,1262,50.0,3,25,1,1,36,10,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
0.0,18,3378,0.0,2,31,1,1,24,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,0
73.0,36,2225,31.0,4,57,2,1,156,288,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,1
0.0,6,783,0.0,1,26,1,2,36,9,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,False,True,True,0
3.0,12,6468,0.0,2,52,1,1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,1
0.0,36,9566,81.0,2,31,2,1,12,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,0
873.0,18,1961,35.0,3,23,1,1,156,7,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,0
-50.0,36,6229,30.0,4,23,2,1,1,180,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,1
103.0,9,1391,37.0,2,27,1,1,24,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,0
184.0,15,1537,0.0,4,50,2,1,216,132,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,0
155.0,36,1953,73.0,4,61,1,1,216,60,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,1
69.0,48,14421,82.0,2,25,1,1,24,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,1
0.0,24,3181,16.0,4,26,1,1,4,216,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,0
0.0,27,5190,0.0,4,48,4,2,204,228,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,0
0.0,12,2171,82.0,2,29,1,1,3,8,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,0
73.0,12,1007,4865.0,4,22,1,1,36,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
0.0,36,1819,89.0,4,37,1,1,12,264,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,1
0.0,36,2394,0.0,4,25,1,1,24,156,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,0
0.0,36,8133,54.0,1,30,1,1,36,3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,0
0.0,7,730,0.0,4,46,2,1,108,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,True,0
-15.0,8,1164,98.0,3,51,2,2,192,168,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,0
176.0,42,5954,13.0,2,41,2,1,48,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,0
-31.0,36,1977,0.0,4,40,1,1,84,276,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,True,1
-17.0,12,1526,7.0,4,66,2,1,192,240,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,0
-16.0,42,3965,38.0,4,34,1,1,10,36,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,1
42.0,11,4771,54.0,2,51,1,1,48,228,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,0
0.0,54,9436,0.0,2,39,1,2,12,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,0
146.0,30,3832,38.0,2,22,1,1,7,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,True,0
0.0,24,5943,0.0,1,44,2,1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,1
0.0,15,1213,701.0,4,47,1,1,228,36,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,True,False,False,True,0
0.0,18,1568,419.0,3,24,1,1,36,132,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,0
-13.0,24,1755,29.0,4,58,1,1,168,216,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,0
-24.0,10,2315,77.0,3,52,1,1,180,156,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,0
0.0,12,1412,93.0,4,29,2,1,12,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,0
29.0,18,1295,80.0,4,27,2,1,9,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,0
55.0,36,12612,382.0,1,47,1,2,24,252,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,1
-48.0,18,2249,326.0,4,30,1,2,48,24,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,0
-36.0,12,1108,55.0,4,28,2,1,72,12,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,1
0.0,12,618,35.0,4,56,1,1,96,156,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
-12.0,12,1409,11.0,4,54,1,1,228,24,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
0.0,12,797,0.0,4,33,1,2,204,48,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,1
587.0,24,3617,0.0,4,20,2,1,228,240,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,False,True,0
153.0,12,1318,1836.0,4,54,1,1,144,240,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
155.0,54,15945,88.0,3,58,1,1,11,108,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,True,True,False,False,True,1
0.0,12,2012,0.0,4,61,1,1,84,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,0
126.0,18,2622,120.0,4,34,1,1,24,120,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
76.0,36,2337,35.0,4,36,1,1,108,264,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
152.0,20,7057,0.0,3,36,2,2,84,240,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,0
0.0,24,1469,355.0,4,41,1,1,144,276,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,True,0
41.0,36,2323,44.0,4,24,1,1,60,276,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,True,True,False,False,True,0
0.0,6,932,84.0,3,24,1,1,24,4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0
195.0,9,1919,60.0,4,35,1,1,60,36,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,True,True,False,False,True,0
0.0,12,2445,0.0,2,26,1,1,3,60,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True,0
59.0,24,11938,63.0,2,39,2,2,12,24,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,1
0.0,18,6458,51.0,2,39,2,2,156,288,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,1
115.0,12,6078,66.0,2,32,1,1,72,8,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
-27.0,24,7721,0.0,1,30,1,1,2,11,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,0
135.0,14,1410,999.0,1,35,1,1,168,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
71.0,6,1449,154.0,1,31,2,2,120,8,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,True,0
501.0,15,392,7.0,4,23,1,1,8,216,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,0
78.0,18,6260,35.0,3,28,1,1,48,12,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,0
0.0,36,7855,95.0,4,25,2,1,36,11,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,False,False,False,1
-21.0,12,1680,841.0,3,35,1,1,144,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
0.0,48,3578,0.0,4,47,1,1,132,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
-41.0,42,7174,0.0,4,30,1,1,48,12,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,1
-31.0,10,2132,0.0,2,27,2,1,7,24,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,0
-28.0,33,4281,670.0,1,23,2,1,12,144,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,1
180.0,12,2366,512.0,3,36,1,1,84,48,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,0
-48.0,21,1835,9.0,3,25,2,1,24,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,1
0.0,24,3868,38.0,4,41,2,1,228,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,0
0.0,12,1768,58.0,3,24,1,1,36,9,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,0
771.0,10,781,56.0,4,63,2,1,228,216,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,0
62.0,18,1924,0.0,4,27,1,1,0,24,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,True,False,False,False,1
-1.0,12,2121,49.0,4,30,2,1,12,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,0
-18.0,12,701,16.0,4,40,1,1,12,8,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,0
175.0,12,639,26.0,4,30,1,1,36,6,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,1
33.0,12,1860,54.0,4,34,2,1,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,0
-23.0,12,3499,19.0,3,29,2,1,36,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,1
72.0,48,8487,0.0,1,24,1,1,60,7,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,0
-10.0,36,6887,33.0,4,29,1,1,36,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,True,False,False,True,1
0.0,15,2708,94.0,2,27,2,1,3,24,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,0
0.0,18,1984,31.0,4,47,2,1,12,168,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,0
0.0,60,10144,445.0,2,21,1,1,48,132,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0
0.0,12,1240,0.0,4,38,2,1,192,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0
0.0,27,8613,18077.0,2,27,2,1,12,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
43.0,12,766,909.0,4,66,1,1,12,24,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,1
113.0,15,2728,0.0,4,35,3,1,72,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,True,False,False,True,0
461.0,12,1881,8.0,2,44,1,1,24,8,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,0
881.0,6,709,12048.0,2,27,1,1,6,5,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,0
67.0,36,4795,51.0,4,30,1,1,9,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,0
-39.0,27,3416,35.0,3,27,1,1,36,8,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,0
-15.0,18,2462,18.0,2,22,1,1,24,4,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,1
0.0,21,2288,2.0,4,23,1,1,6,252,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,0
40.0,48,3566,416.0,4,30,1,1,84,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
-19.0,6,860,80.0,1,39,2,1,168,216,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,0
0.0,12,682,184.0,4,51,2,1,48,48,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,False,0
-29.0,36,5371,80.0,3,28,2,1,36,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,True,0
0.0,18,1582,2657.0,4,46,2,1,156,132,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
0.0,6,1346,385.0,2,42,1,2,192,204,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,0
0.0,10,1924,5.0,1,38,1,1,24,264,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,0
404.0,36,5848,85.0,4,24,1,1,24,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,0
